hour,day_of_week,month,is_weekend,is_holiday,has_event,location_type,location,weather,temperature,humidity,crowd_score,crowd_level
3,1,10,0,0,0,tourist_spot,Istanbul,clouds,4.0998070468603,75.55008085007569,5.09,low
2,3,7,0,1,0,beach,Paris,clouds,24.080749161999215,62.09337972039597,34.59,low
22,5,10,1,0,0,beach,London,rain,0.2599503871224407,80.4364438874606,28.58,low
13,5,12,1,0,0,transport_hub,Rome,rain,15.197092025493495,46.92345353634713,75.18,high
19,0,12,0,0,0,park,Paris,fog,36.89181488112639,25.910014855884363,17.03,low
20,4,10,0,0,1,transport_hub,Sydney,clear,11.575518544084286,25.984398269272063,47.08,medium
3,5,8,1,0,0,beach,Rome,rain,14.21082800910086,70.263138078327,36.57,medium
21,2,12,0,0,0,museum,Sydney,fog,6.536099750477136,48.459158131823585,25.94,low
22,2,10,0,0,0,restaurant,Amsterdam,clear,1.2840097561615105,43.65897860443114,4.24,low
2,6,10,1,0,0,restaurant,Sydney,rain,19.969250379691093,86.35123654150269,28.98,low
14,5,10,1,0,0,market,Rome,fog,29.880552466090315,52.13253704709348,46.29,medium
12,0,8,0,0,0,transport_hub,London,clouds,3.6363764869517556,23.53372815685509,52.13,medium
4,5,4,1,0,0,market,Amsterdam,clear,23.835537134445126,55.1037415838508,16.81,low
17,3,9,0,0,0,tourist_spot,Amsterdam,fog,30.743949306297836,45.51316047732839,40.13,medium
13,4,10,0,1,0,market,Singapore,rain,30.478487962082585,58.07612559532439,36.2,medium
20,1,4,0,0,0,park,Amsterdam,clouds,30.50043200300605,60.45342725897193,9.53,low
0,2,6,0,1,0,transport_hub,Singapore,rain,33.26662117444718,43.06355940519961,19.9,low
7,1,3,0,0,0,museum,Tokyo,clear,21.308246781180628,29.432038364033097,19.01,low
15,1,11,0,0,0,market,Rome,fog,8.471928217683281,60.44720665845937,24.24,low
6,4,12,0,0,0,park,Bangkok,rain,20.703033641423623,29.075314690119928,0.0,low
2,4,8,0,0,0,transport_hub,Paris,clouds,0.2876335594037416,73.08807099113406,12.9,low
7,2,3,0,0,0,museum,Paris,clear,11.139090558581879,56.4060874362868,14.69,low
4,4,7,0,0,0,shopping_mall,London,snow,3.877232569152933,52.32883868047831,3.04,low
13,4,3,0,1,0,shopping_mall,Istanbul,clear,29.128543537647307,80.04443831462741,61.1,medium
7,4,4,0,0,0,restaurant,London,clouds,11.141805786677619,38.73548359115753,9.24,low
14,5,3,1,0,0,museum,Paris,fog,38.75985029139005,89.47752372560957,58.82,medium
5,2,8,0,0,0,beach,Singapore,snow,6.585484856061075,20.16165337635698,0.0,low
8,5,2,1,0,0,shopping_mall,Rome,fog,19.46685646617318,34.24234004507279,40.38,medium
1,3,8,0,0,0,tourist_spot,Istanbul,clear,20.11401531678054,83.9539919036214,0.0,low
